time,position,velocity,accel x,accel y,accel z,mag x, mag y,mag z,gyro x,gyro y,gyro z
5.289,31.26962477,1.246924911,-0.058349609,-0.013549805,-0.859985352,-0.29284668,-0.356140137,-0.49597168,1.861724854,6.078643799,2.108459473
5.317,31.20165582,1.246924911,-0.021362305,-0.016479492,-0.831054688,-0.275085449,-0.365539551,-0.460632324,2.886047363,5.757141113,1.929016113
5.363,31.08212421,1.246924911,-0.083618164,-0.080444336,-0.755371094,-0.251586914,-0.404052734,-0.49395752,0.575714111,6.101074219,1.181335449
5.408,30.95556133,1.246924911,-0.071166992,0.053222656,-0.785888672,-0.249511719,-0.448974609,-0.428833008,2.056121826,5.824432373,1.667327881
5.435,30.87587359,1.246924911,-0.046142578,-0.059326172,-0.809570313,-0.251220703,-0.461120605,-0.407104492,1.428070068,6.003875732,1.637420654
5.48,30.7297794,1.246924911,-0.025268555,-0.105834961,-0.623535156,-0.246276855,-0.458374023,-0.30291748,2.669219971,5.944061279,2.415008545
5.536,30.53837258,1.246924911,-0.054077148,-0.0390625,-0.862426758,-0.301879883,-0.413330078,-0.280700684,2.654266357,6.003875732,2.422485352
5.587,30.35087202,1.246924911,-0.05456543,-0.121459961,-0.852539063,-0.352294922,-0.371582031,-0.342285156,1.465454102,6.325378418,1.510314941
5.611,30.25477798,1.246924911,-0.049804688,0.005249023,-0.576171875,-0.32598877,-0.364135742,-0.388305664,3.327178955,5.405731201,1.816864014
5.641,30.13446512,1.246924911,-0.043579102,-0.105957031,-0.914428711,-0.269897461,-0.373474121,-0.35333252,1.465454102,6.975860596,1.772003174
5.724,29.77743281,1.246924911,0.044189453,-0.111694336,-0.729736328,-0.263000488,-0.438903809,-0.154174805,2.317810059,6.437530518,1.764526367
5.767,29.58133847,1.246924911,-0.017944336,-0.167114258,-0.970703125,-0.298034668,-0.47253418,-0.041259766,2.205657959,6.489868164,1.413116455
5.79,29.47040064,1.246924911,-0.057861328,-0.003051758,-0.731567383,-0.397949219,-0.471374512,-0.084960938,2.773895264,7.716064453,2.220611572
5.838,29.22977492,1.246924911,-0.010009766,-0.207397461,-1.180664063,-0.549560547,-0.328674316,-0.25604248,4.119720459,7.970275879,1.734619141
5.891,28.95399284,1.246924911,-0.081665039,-0.147338867,-1.011108398,-0.461608887,-0.297546387,-0.313842773,2.80380249,6.317901611,1.854248047
5.941,28.68133578,1.246924911,-0.124267578,-0.102416992,-1.087402344,-0.430358887,-0.52331543,-0.367736816,-1.973876953,0.448608398,2.370147705
5.969,28.52274155,1.246924911,-0.080078125,-0.027832031,-1.231689453,-0.418579102,-0.56036377,-0.3671875,-0.358886719,-3.514099121,2.422485352
6.023,28.19852183,1.246924911,-0.244628906,-0.15234375,-1.310913086,-0.428527832,-0.442932129,-0.412414551,5.278625488,-15.18539429,2.743988037
6.08,27.84539578,1.246924911,0.025268555,-0.028076172,-1.577148438,-0.357666016,-0.405944824,-0.475524902,6.265563965,-24.8828125,3.244934082
6.127,27.53601985,1.246924911,-0.040893555,-0.068725586,-1.596435547,-0.359313965,-0.424621582,-0.428833008,3.117828369,-32.78579712,2.572021484
6.149,27.39070692,1.246924911,-0.013549805,0.065063477,-1.335205078,-0.362365723,-0.391113281,-0.507751465,5.114135742,-34.86434937,3.043060303
